Chrom	Start	End	Length	Treatment.cnt	Control.cnt	Event	logFC	pval	padj	winSta	winEnd	winFC	winP	winQ
chr1	34491301	34492500	1200	38.06;13.89;43.01	61.27;61.78;55.74	Down	-0.91	3.92247945886062e-05	0.00123409195176747	34491301	34492300	-0.95	5.71723186533338e-05	0.00113844379518451
chr1	36425501	36426600	1100	117.45;141.98;129.02	76.58;96.02;88.10	Up	0.58	6.37598904669792e-06	0.00033522980834135	36425501	36426500	0.58	5.29341216521983e-06	0.000168389051504666
chr1	36568401	36569900	1500	276.24;285.51;260.66	228.42;227.02;222.95	Up	0.28	4.8885226730839e-07	5.64536650018161e-05	36568901	36569900	0.37	3.63387420081126e-09	1.69109889493484e-06
chr1	36614701	36615800	1100	128.33;179.02;121.21	97.23;95.27;101.59	Up	0.54	1.71119075972236e-05	0.000683090639064519	36614801	36615800	0.63	3.31171041884507e-06	0.000113735010056157
chr1	36995601	36997000	1400	301.25;325.63;294.54	218.43;263.49;232.84	Up	0.37	9.04440678706967e-06	0.000426652893287986	36995601	36996600	0.42	2.2559239704616e-08	3.17327345857571e-06
chr1	37947201	37948500	1300	33.71;10.80;32.58	61.27;67.73;72.82	Down	-1.39	1.83973503349195e-08	5.7469497902056e-06	37947301	37948300	-1.27	1.94664032199982e-07	1.37352553418379e-05
chr1	38683301	38685100	1800	244.70;296.31;229.38	171.81;200.22;181.60	Up	0.48	7.21584522917279e-05	0.00182013323813568	38683501	38684500	0.77	2.70637889743682e-07	1.74057144680183e-05
chr1	38892501	38893500	1000	184.88;171.30;186.37	154.50;165.24;167.21	Up	0.16	2.54712700187146e-07	3.45891495618072e-05	38892501	38893500	0.16	2.54712700187146e-07	1.66991169252256e-05
chr1	39249601	39251300	1700	249.05;304.03;303.66	209.10;208.41;207.67	Up	0.45	7.50860270806728e-05	0.00186200179891444	39249601	39250600	0.39	1.39682302873505e-07	1.06348559198802e-05
chr1	39957001	39958500	1500	191.41;316.37;260.66	169.15;170.45;213.06	Up	0.48	0.00492421256177262	0.0949934959867248	39957401	39958400	0.66	8.32675315165623e-07	3.70437660617935e-05
chr1	43009001	43010700	1700	155.52;185.19;157.70	117.21;99.74;126.76	Up	0.54	3.42616928962368e-05	0.00112572149637477	43009301	43010300	0.84	1.05207913394414e-08	2.16183631603539e-06
chr1	43155001	43156100	1100	165.31;163.59;169.43	186.46;192.04;186.99	Down	-0.18	0.232884192605658	1	43155001	43156000	-0.18	8.42463929345279e-10	7.12105531135159e-07
chr1	43502001	43503600	1600	231.65;277.79;267.17	191.79;186.08;186.99	Up	0.46	9.48249640252529e-11	4.87742149582862e-07	43502401	43503400	0.53	1.36559553766426e-07	1.04547571125653e-05
chr1	46909101	46910800	1700	187.06;279.33;254.14	167.82;172.68;195.08	Up	0.43	0.000322964254733142	0.00672863858276523	46909601	46910600	0.58	6.40732146735535e-07	3.05383706024078e-05
chr1	51390301	51391300	1000	7.61;9.26;3.91	18.65;19.35;23.37	Down	-1.56	3.06954369407527e-05	0.00105013526259111	51390301	51391300	-1.56	3.06954369407527e-05	0.000700850941131254
chr1	52288901	52290600	1700	294.72;362.67;357.10	255.72;264.98;282.29	Up	0.34	0.00347464969048501	0.0675331022433168	52288901	52289900	0.28	2.1172214589161e-07	1.463957902928e-05
chr1	52556701	52558400	1700	122.89;209.89;207.22	136.52;119.84;118.67	Up	0.53	6.75282575247753e-06	0.000348738824209619	52556801	52557800	0.66	5.78508693377215e-07	2.88335415912124e-05
chr1	54250001	54251200	1200	30.45;15.43;19.55	45.28;47.64;47.65	Down	-1.10	3.73626871587553e-05	0.00119491322078321	54250001	54251000	-1.78	5.20308712420778e-07	2.69713970601299e-05
chr1	54251001	54252500	1500	228.38;245.38;231.98	167.15;186.83;200.48	Up	0.35	0.00147316147629391	0.0290549533453053	54251201	54252200	0.45	2.00114591692135e-06	7.44685189461353e-05
chr1	55143601	55144600	1000	135.94;115.75;113.39	139.85;139.93;158.22	Down	-0.26	5.72876150735143e-05	0.00158817834077297	55143601	55144600	-0.26	5.72876150735143e-05	0.00113909670720826
chr1	55187801	55188800	1000	206.63;234.58;251.53	209.77;188.32;180.70	Up	0.26	8.91900649064458e-05	0.00205782568489137	55187801	55188800	0.26	8.91900649064458e-05	0.00158884907883663
chr1	55462801	55463800	1000	175.09;199.08;204.62	155.83;152.59;161.82	Up	0.30	5.9118944423754e-07	6.50011265513532e-05	55462801	55463800	0.30	5.9118944423754e-07	2.9177631647279e-05
chr1	57831501	57832500	1000	189.23;209.89;229.38	159.83;178.64;156.43	Up	0.34	3.71218360589747e-08	8.93902445285241e-06	57831501	57832500	0.34	3.71218360589747e-08	4.21236220791949e-06
chr1	58480801	58481800	1000	9.79;6.17;5.21	25.31;21.59;18.88	Down	-1.64	9.38907904032639e-06	0.000436863633904412	58480801	58481800	-1.64	9.38907904032639e-06	0.000266354024446739
chr1	58560201	58561400	1200	27.19;12.35;26.07	49.28;45.40;49.44	Down	-1.14	2.17849644591742e-05	0.000820410831500791	58560201	58561200	-1.46	1.07864098364337e-05	0.000298431210825258
chr1	58643701	58644700	1000	3.26;6.17;5.21	23.97;20.10;18.88	Down	-2.10	7.57452555773617e-08	1.45917069558287e-05	58643701	58644700	-2.10	7.57452555773617e-08	6.73222531223855e-06
chr1	59726601	59727600	1000	139.21;177.48;203.31	123.86;116.86;118.67	Up	0.53	3.99201454307085e-05	0.00125069030518085	59726601	59727600	0.53	3.99201454307085e-05	0.000860391490649163
chr1	59969101	59971100	2000	325.18;390.45;422.26	271.70;291.78;291.28	Up	0.41	7.51743614468442e-06	0.000373778115534861	59970101	59971100	0.27	1.02649022592849e-08	2.16183631603539e-06
chr1	60099201	60100700	1500	174.01;192.91;157.70	145.84;147.38;129.46	Up	0.31	0.161330218772021	1	60099701	60100700	0.69	7.78088596419342e-07	3.52741792548646e-05
chr1	60237001	60238000	1000	164.22;253.10;191.58	129.86;156.31;149.23	Up	0.48	8.01048794022827e-05	0.00194022450004897	60237001	60238000	0.48	8.01048794022827e-05	0.00146869583669046
chr1	60466401	60467400	1000	177.27;200.63;204.62	144.51;160.78;166.31	Up	0.30	3.35973307207132e-07	4.28164382704768e-05	60466401	60467400	0.30	3.35973307207132e-07	2.04037279148167e-05
chr1	63159801	63161200	1400	115.28;197.54;161.61	100.56;122.07;102.49	Up	0.55	0.000231985192732071	0.00490472828615462	63160101	63161100	0.63	2.20499306746252e-05	0.000537846895572218
chr1	63161101	63162400	1300	27.19;23.15;23.46	48.61;51.36;61.13	Down	-1.13	9.07966902300509e-06	0.000427829046182963	63161401	63162400	-1.47	4.63221402111677e-06	0.000150592868642626
chr1	63221901	63222900	1000	43.50;30.87;16.94	65.26;55.08;53.94	Down	-0.93	8.77249396257587e-05	0.00204352730563536	63221901	63222900	-0.93	8.77249396257587e-05	0.00157221616158359
chr1	64166701	64168200	1500	125.07;54.01;86.02	147.17;145.14;139.34	Down	-0.70	9.33476289736566e-07	8.9913304577463e-05	64167201	64168200	-0.79	9.30518927823516e-06	0.000264699402146939
chr1	65232101	65233100	1000	38.06;10.80;27.37	58.60;49.87;47.65	Down	-1.03	6.83710140839692e-05	0.00176986916333115	65232101	65233100	-1.03	6.83710140839692e-05	0.00130497265499071
chr1	66863301	66864400	1100	159.87;174.39;187.67	136.52;125.79;140.24	Up	0.37	0.00541534110572186	0.104267303829066	66863301	66864300	0.42	8.34376994293178e-08	7.15901714576888e-06
chr1	74282901	74284100	1200	177.27;208.34;209.83	177.81;185.34;162.72	Up	0.18	0.596469011276939	1	74283101	74284100	0.18	1.95461501120747e-08	2.8831661724676e-06
chr1	74863801	74864900	1100	25.01;12.35;15.64	38.62;41.68;35.96	Down	-1.13	6.38774845135432e-05	0.00168558032116007	74863901	74864900	-1.53	2.95093412218902e-06	0.000102894882824032
chr1	75206801	75208200	1400	184.88;152.78;192.89	151.17;160.78;148.33	Up	0.20	0.181995478156602	1	75207201	75208200	0.28	1.64516107497281e-05	0.000424015441214833
chr1	75476901	75477900	1000	10.88;6.17;7.82	27.97;19.35;29.67	Down	-1.63	8.1408406648437e-05	0.00196065584919384	75476901	75477900	-1.63	8.1408406648437e-05	0.00148757303070728
chr1	75542301	75543800	1500	132.68;245.38;209.83	152.50;138.45;133.95	Up	0.47	6.24292433703743e-05	0.0016649674191334	75542501	75543500	0.56	2.36845763406499e-06	8.53015463371337e-05
chr1	78484501	78485900	1400	120.72;104.94;106.87	153.17;142.91;153.73	Down	-0.44	0.00200363574486842	0.0392928907580305	78484501	78485500	-0.39	1.28600608197425e-10	2.89637239269511e-07
chr1	79757501	79758600	1100	192.50;191.37;196.80	173.14;165.99;167.21	Up	0.20	3.08913956738879e-09	2.53643714183408e-06	79757501	79758500	0.23	3.91454525783935e-08	4.32583018403202e-06
chr1	80336101	80337700	1600	179.44;283.96;208.53	167.82;165.99;160.92	Up	0.44	1.59339266844501e-05	0.000652770895565334	80336601	80337600	0.68	5.60077082624275e-07	2.82205262872655e-05
chr1	82835801	82837100	1300	199.02;214.52;198.10	190.46;187.57;176.20	Up	0.14	0.00272311844122541	0.0531126373733369	82836001	82837000	0.23	5.03118469482944e-09	1.79662664011775e-06
chr1	84834901	84836400	1500	205.55;225.32;212.43	175.14;170.45;162.72	Up	0.34	5.42172101168023e-09	3.57945433366166e-06	84834901	84835900	0.47	1.4965556803505e-07	1.12118521433223e-05
chr1	87689501	87690800	1300	153.34;179.02;207.22	121.20;122.07;140.24	Up	0.49	8.43124880185347e-05	0.00200117743768004	87689501	87690500	0.66	1.82021284587044e-06	6.8786109169947e-05
chr1	89749301	89750900	1600	193.58;206.80;220.25	169.81;181.62;169.91	Up	0.25	0.0519588807249133	0.966771303622849	89749301	89750300	0.42	2.92257342047847e-08	3.75787418773171e-06
chr1	90172301	90173500	1200	20.66;18.52;9.12	44.62;34.24;35.06	Down	-1.24	5.46367916415724e-05	0.00154256757751237	90172301	90173300	-1.67	1.98408436844185e-06	7.39665223871509e-05
chr1	90598001	90599100	1100	201.20;185.19;209.83	172.48;178.64;179.80	Up	0.17	0.0675235273663926	1	90598001	90599000	0.16	9.77367320712873e-09	2.15868515117684e-06
chr1	91350701	91352500	1800	290.37;300.94;298.45	243.07;230.00;264.31	Up	0.27	4.97171510615708e-08	1.09645654219728e-05	91351501	91352500	0.32	6.74653344088562e-09	1.93198515108844e-06
chr1	91476101	91477600	1500	129.42;197.54;169.43	113.88;107.93;110.58	Up	0.58	3.38255727401341e-06	0.000211949708283037	91476401	91477400	0.70	3.89312123037695e-07	2.26581600565529e-05
chr1	93437001	93438000	1000	167.48;191.37;188.98	163.82;158.54;171.71	Up	0.15	9.58169857852763e-08	1.74825899438528e-05	93437001	93438000	0.15	9.58169857852763e-08	7.95935828437305e-06
chr1	94075901	94077200	1300	143.56;140.44;151.18	109.21;98.25;105.18	Up	0.48	1.04824150768233e-07	1.8713821881546e-05	94075901	94076900	0.48	2.68982980622761e-07	1.73531730396161e-05
chr1	94728001	94729300	1300	213.16;219.15;229.38	183.13;192.78;192.39	Up	0.22	7.02480842533406e-06	0.000358317137143456	94728001	94729000	0.21	3.91166662048787e-08	4.32583018403202e-06
chr1	94803301	94804300	1000	190.32;183.65;179.85	159.83;143.66;163.62	Up	0.25	1.68249653828585e-06	0.000132179225879467	94803301	94804300	0.25	1.68249653828585e-06	6.48781400618066e-05
chr1	95650301	95651900	1600	330.61;399.71;350.58	275.03;270.94;284.08	Up	0.38	3.57457760488899e-05	0.00116009752226653	95650401	95651400	0.31	1.0851595568737e-08	2.16183631603539e-06
chr1	99557201	99558800	1600	331.70;344.15;306.27	251.73;259.03;285.88	Up	0.30	0.000154423859524674	0.00333468582575232	99557601	99558600	0.37	5.76784272880076e-07	2.87822301375265e-05
chr1	99665001	99666000	1000	23.93;12.35;20.85	45.28;37.96;36.86	Down	-1.07	4.67843224845931e-05	0.00139203525047908	99665001	99666000	-1.07	4.67843224845931e-05	0.000972259442381774
chr1	99991201	99993000	1800	162.04;243.84;207.22	154.50;150.35;155.53	Up	0.41	0.000340299190496326	0.00707200796386193	99991801	99992800	0.56	3.25691044447263e-06	0.000112225221954382
chr1	107560301	107561600	1300	217.51;248.47;250.23	207.11;199.48;200.48	Up	0.24	0.137976618301543	1	107560601	107561600	0.27	4.61667807395567e-07	2.5256970154649e-05
chr1	107886701	107887700	1000	172.92;151.24;161.61	136.52;122.81;118.67	Up	0.36	3.7743336441116e-06	0.000229890221870315	107886701	107887700	0.36	3.7743336441116e-06	0.000126579231475153
chr1	108068801	108070000	1200	206.63;228.41;241.11	179.14;193.53;194.18	Up	0.25	1.1726758374522e-05	0.000517802642170524	108068801	108069800	0.28	1.39402935327729e-08	2.46046961529843e-06
chr1	120284701	120285800	1100	53.29;30.87;27.37	69.26;72.20;66.53	Down	-0.90	3.46954981163044e-05	0.00113778158430807	120284701	120285700	-0.88	2.88674502830166e-05	0.000671326252567087
chr1	129669101	129670600	1500	25.01;20.06;24.76	45.95;47.64;48.55	Down	-1.03	2.1393280348166e-05	0.000812905399504898	129669401	129670400	-1.38	4.1226805141281e-07	2.3502477660286e-05
chr1	130139701	130140800	1100	22.84;10.80;9.12	33.30;33.49;30.57	Down	-1.19	8.64611081045849e-05	0.00202777246629428	130139701	130140700	-1.90	1.65770304502852e-06	6.42372415464325e-05
chr1	132613601	132614600	1000	185.97;175.93;182.46	177.81;157.80;163.62	Up	0.12	1.84543995870719e-08	5.7469497902056e-06	132613601	132614600	0.12	1.84543995870719e-08	2.79979605163862e-06
chr1	132993401	132994500	1100	145.73;226.86;211.13	133.19;129.51;146.54	Up	0.51	2.15853149614288e-06	0.000154382686588745	132993401	132994400	0.54	1.91249939971381e-06	7.17217672257171e-05
chr1	133034901	133035900	1000	34.80;13.89;15.64	42.62;45.40;47.65	Down	-1.08	6.69547449810514e-05	0.00174180884409532	133034901	133035900	-1.08	6.69547449810514e-05	0.00128334905171809
chr1	133422701	133424100	1400	230.56;234.58;225.47	215.10;207.67;222.05	Up	0.10	0.517791329486579	1	133422701	133423700	0.10	1.16763521026476e-07	9.15930210961093e-06
chr1	133859401	133860400	1000	85.92;103.40;91.23	53.94;61.04;64.73	Up	0.64	5.51845272078719e-05	0.00155485220945282	133859401	133860400	0.64	5.51845272078719e-05	0.00110953046014351
chr1	135030401	135031800	1400	35.89;26.24;26.07	59.93;58.80;53.94	Down	-0.97	9.42516538844584e-06	0.000437146136683818	135030501	135031500	-1.15	4.39162910004141e-05	0.000925661547407202
chr1	135319801	135320800	1000	128.33;132.72;148.57	107.88;101.23;116.87	Up	0.33	1.57990464179674e-07	2.519115507677e-05	135319801	135320800	0.33	1.57990464179674e-07	1.17029958929538e-05
chr1	136258601	136259700	1100	17.40;16.98;18.25	41.29;40.19;45.85	Down	-1.27	5.6831177710043e-07	6.3275099956843e-05	136258601	136259600	-1.27	5.6831177710043e-07	2.84623182393538e-05
chr1	136456701	136458200	1500	284.94;442.92;409.23	277.70;285.08;292.17	Up	0.41	2.9882564169037e-06	0.000195217041443718	136456801	136457800	0.44	1.60508227788336e-06	6.3002140578961e-05
chr1	137042901	137044100	1200	258.84;277.79;254.14	207.77;202.46;206.77	Up	0.36	0.000445016745635613	0.00914271010453167	137043001	137044000	0.37	1.83641911710466e-09	1.13801808564832e-06
chr1	138027501	138028800	1300	203.37;262.36;217.65	161.82;171.20;176.20	Up	0.42	0.000600020356260869	0.0121702463837476	138027501	138028500	0.47	7.47661624936266e-05	0.00139238530492852
chr1	138240501	138242000	1500	45.68;29.32;39.10	79.25;72.94;84.51	Down	-1.05	2.70745194773468e-08	7.18828492123557e-06	138241001	138242000	-1.01	2.05036204793585e-07	1.42725874456146e-05
chr1	138521101	138522500	1400	181.62;203.71;207.22	170.48;152.59;163.62	Up	0.28	3.32186650306107e-08	8.23862675591516e-06	138521301	138522300	0.65	1.23562122261697e-07	9.6016810128236e-06
chr1	145849701	145851000	1300	41.33;21.61;28.67	61.27;61.78;57.54	Down	-0.98	5.13113657683934e-05	0.00148213788157951	145849801	145850800	-1.21	1.41781408715651e-06	5.6518791012366e-05
chr1	153937001	153938000	1000	171.83;174.39;195.49	155.83;166.73;172.61	Up	0.13	1.10999012030834e-07	1.9316626387786e-05	153937001	153938000	0.13	1.10999012030834e-07	8.8071974718258e-06
chr1	154611901	154613000	1100	17.40;10.80;10.43	30.63;34.98;32.36	Down	-1.34	7.8455453369101e-06	0.000386381446806352	154611901	154612900	-1.35	3.32402929588525e-05	0.000742982435925393
chr1	154748601	154750500	1900	234.91;358.04;319.30	213.10;202.46;220.25	Up	0.52	1.5611716115188e-06	0.0001272846570982	154749401	154750400	0.73	4.68502639335467e-07	2.53984847068016e-05
chr1	155500401	155501400	1000	33.71;20.06;29.98	68.59;50.61;58.43	Down	-1.08	6.28010130130517e-05	0.00167272820384217	155500401	155501400	-1.08	6.28010130130517e-05	0.00122289250445443
chr1	155514101	155516000	1900	42.41;27.78;31.28	70.59;66.99;71.92	Down	-1.05	9.56163211300087e-08	1.74825899438528e-05	155515001	155516000	-1.58	2.07039962406007e-06	7.64276395983244e-05
chr1	157005201	157006300	1100	131.59;155.87;145.97	106.55;111.65;99.79	Up	0.45	0.000157868732662883	0.00340552456741213	157005301	157006300	0.45	1.02363635663726e-07	8.32018347637766e-06
chr1	157405101	157406300	1200	199.02;177.48;186.37	159.16;178.64;160.92	Up	0.17	8.99802928471661e-09	3.94045797514087e-06	157405101	157406100	0.21	8.22848991236285e-08	7.14481331635733e-06
chr1	157659601	157660600	1000	184.88;162.04;186.37	163.82;163.75;161.82	Up	0.12	2.41442714150572e-07	3.33335811156279e-05	157659601	157660600	0.12	2.41442714150572e-07	1.6094172520573e-05
chr1	158868901	158870600	1700	290.37;310.20;293.24	231.75;240.42;251.72	Up	0.30	1.58816238550034e-08	5.35547493481763e-06	158869401	158870400	0.36	2.27555112941755e-08	3.17327345857571e-06
chr1	159341701	159343000	1300	244.70;316.37;245.02	197.12;212.13;208.57	Up	0.38	0.000845734978650652	0.0169302326465697	159342001	159343000	0.49	7.41830540594168e-06	0.00022200243735787
chr1	160293401	160294600	1200	20.66;1.54;7.82	35.96;25.31;33.26	Down	-1.65	0.000757284124744009	0.0152110542573459	160293401	160294400	-1.74	2.5242107703749e-05	0.000600504087808084
chr1	162141401	162142400	1000	18.49;4.63;10.43	31.97;31.26;24.27	Down	-1.38	8.57594521188234e-05	0.00202311149261451	162141401	162142400	-1.38	8.57594521188234e-05	0.00154946425558949
chr1	162143201	162144200	1000	52.20;15.43;22.16	54.61;64.01;54.84	Down	-0.95	7.8800760854451e-05	0.00192552797231248	162143201	162144200	-0.95	7.8800760854451e-05	0.00145379506150096
chr1	162280801	162282800	2000	65.25;29.32;48.22	100.56;106.44;98.89	Down	-1.10	1.49493371691237e-07	2.4168739639691e-05	162281201	162282200	-1.25	2.88668304057013e-11	2.89637239269511e-07
chr1	162964501	162965500	1000	168.57;183.65;185.07	165.15;165.99;166.31	Up	0.11	9.36279947137502e-08	1.73119834154201e-05	162964501	162965500	0.11	9.36279947137502e-08	7.81831509083489e-06
chr1	162966301	162967300	1000	31.54;18.52;22.16	49.95;48.38;42.25	Down	-0.96	8.62491348384439e-05	0.00202624314619323	162966301	162967300	-0.96	8.62491348384439e-05	0.00155315942032116
chr1	163060501	163061500	1000	54.38;43.21;49.52	81.24;80.39;82.71	Down	-0.73	7.85065430883454e-05	0.00192262942751223	163060501	163061500	-0.73	7.85065430883454e-05	0.00145160000072906
chr1	164501401	164502400	1000	22.84;4.63;7.82	33.30;34.98;26.97	Down	-1.43	4.96043061445166e-05	0.00144887951473455	164501401	164502400	-1.43	4.96043061445166e-05	0.001019608512106
chr1	164668701	164669800	1100	17.40;9.26;11.73	36.63;33.49;26.07	Down	-1.33	0.000108977487626697	0.00239322883484758	164668701	164669700	-1.56	6.79434183241164e-06	0.00020691768383443
chr1	165859901	165860900	1000	199.02;209.89;203.31	173.81;151.10;159.12	Up	0.34	1.79040521309536e-08	5.66068726076211e-06	165859901	165860900	0.34	1.79040521309536e-08	2.74648159688828e-06
chr1	166384801	166385800	1000	38.06;13.89;28.67	52.61;56.57;62.93	Down	-1.09	8.85073196115847e-06	0.00042135588088191	166384801	166385800	-1.09	8.85073196115847e-06	0.000253864000254336
chr1	166386501	166387600	1100	48.94;23.15;26.07	65.26;67.73;74.62	Down	-1.08	2.24230306194969e-06	0.00015848414371985	166386601	166387600	-1.04	1.26569459696647e-05	0.000340848756938603
chr1	167390001	167391000	1000	183.80;214.52;212.43	157.83;151.10;172.61	Up	0.34	1.09163014555544e-07	1.90772731513144e-05	167390001	167391000	0.34	1.09163014555544e-07	8.69483410934906e-06
chr1	167931301	167933100	1800	253.40;328.72;295.84	216.43;212.88;198.68	Up	0.48	3.62742236131227e-05	0.00117192339595033	167931601	167932600	0.63	7.12969545130563e-07	3.29205937795068e-05
chr1	168340101	168341100	1000	16.31;9.26;16.94	37.29;37.22;32.36	Down	-1.33	3.28796845641196e-06	0.000208779630614443	168340101	168341100	-1.33	3.28796845641196e-06	0.000113013342346614
chr1	168930401	168932100	1700	238.17;308.66;231.98	204.44;188.32;191.49	Up	0.41	0.000239850721507656	0.00506069138227413	168930701	168931700	0.62	8.22153385539126e-07	3.67073861861294e-05
chr1	171461401	171462400	1000	33.71;15.43;26.07	50.61;55.82;46.75	Down	-1.03	9.56062777534741e-05	0.00214234293318465	171461401	171462400	-1.03	9.56062777534741e-05	0.00167717950529157
chr1	172519201	172520300	1100	171.83;188.28;200.71	176.47;171.94;165.42	Up	0.13	0.479839277339041	1	172519201	172520200	0.17	3.46901046500327e-08	4.0246351663727e-06
chr1	173956701	173957900	1200	94.62;143.52;151.18	85.24;78.90;87.20	Up	0.63	4.16814555995643e-06	0.000247329875074893	173956701	173957700	0.61	8.88087380190984e-06	0.000254393005767752
chr1	174242301	174243300	1000	169.66;169.76;179.85	155.16;169.71;173.51	Up	0.06	5.36349820881097e-07	6.06820282470371e-05	174242301	174243300	0.06	5.36349820881097e-07	2.74932387144224e-05
chr1	178743601	178744700	1100	216.42;231.49;237.20	218.43;191.29;202.27	Up	0.16	0.89956297750023	1	178743601	178744600	0.18	9.18209255811016e-06	0.000261957309337268
chr1	178744201	178745200	1000	121.81;121.92;123.81	144.51;142.17;145.64	Down	-0.23	6.38308337361447e-05	0.00168558032116007	178744201	178745200	-0.23	6.38308337361447e-05	0.0012356727412704
chr1	179187301	179189800	2500	269.71;436.75;374.04	244.40;242.65;252.62	Up	0.55	1.7553186797546e-06	0.000134632942737178	179187501	179188500	0.70	5.28535670604667e-07	2.72274756282389e-05
chr1	179371801	179372800	1000	120.72;169.76;147.27	93.90;94.53;99.79	Up	0.60	1.24955258586888e-05	0.000539665995844808	179371801	179372800	0.60	1.24955258586888e-05	0.000337599275939446
chr1	180266301	180268200	1900	398.04;444.46;413.14	307.00;331.23;328.13	Up	0.38	4.11938962472033e-10	8.53084397383334e-07	180266701	180267700	0.48	3.10446515713318e-10	4.44522797286401e-07
chr1	181889501	181890800	1300	187.06;200.63;205.92	171.15;154.82;141.14	Up	0.35	0.0761174897785417	1	181889801	181890800	0.46	6.05766227278492e-08	5.67638588267434e-06
chr1	182186601	182187800	1200	28.28;7.72;13.03	43.95;37.22;41.35	Down	-1.32	7.54052116388578e-06	0.000374027910857271	182186601	182187600	-1.32	7.54052116388578e-06	0.000224201942258307
chr1	182570301	182572100	1800	233.82;331.80;288.03	189.13;196.50;209.47	Up	0.52	1.34601828826422e-06	0.000116208811077188	182570401	182571400	0.69	8.83055490112677e-07	3.87097645796096e-05
chr1	182655601	182657100	1500	221.86;220.69;242.41	194.45;192.78;200.48	Up	0.22	1.02301222176708e-07	1.83424762775536e-05	182655901	182656900	0.34	2.02324260659346e-08	2.94331163534465e-06
chr1	183074501	183075500	1000	23.93;9.26;14.34	38.62;31.26;36.86	Down	-1.17	9.06867219461586e-05	0.00208092113549363	183074501	183075500	-1.17	9.06867219461586e-05	0.00161066151353602
chr1	183140801	183142900	2100	333.88;418.23;437.90	278.36;285.08;272.40	Up	0.51	3.48256643999253e-06	0.000216577983200616	183141201	183142200	0.67	4.78031155997115e-07	2.56133174891184e-05
chr1	183949001	183951000	2000	299.07;378.10;307.57	227.75;224.79;229.24	Up	0.53	3.25062809775198e-06	0.000208090439803232	183949301	183950300	0.76	4.60003014092349e-07	2.52349732949363e-05
